"","Energy","Fat","Saturated_fat","Carbohydrate","Sugars","Proteins","Salt","Sodium","Score"
"6375",273,4.7,0.8,5.6,0.5,1.5,1,0.394,"B"
"6376",1828,15,3.9,64,20,8.1,0.2,0.079,"C"
"6384",1050,2,0.3,55,2.3,2,0.4,0.157,"B"
"6390",1038,2.6,0.4,45,2.4,9.1,1.3,0.512,"C"
"6397",1943,18,2.2,60,3.9,13,2,0.787,"C"
"6402",0,0,0,0,0,0,0,0,"A"
"6407",697,0.4,0.27,34.5,2.24,4.3,4.216,1.66,"D"
"6415",1502,3.2,0.5,63,14,12,0.7,0.276,"B"
"6425",1608,2.6,1,75.5,27.7,9.8,0.508,0.2,"C"
"6447",833,20,3.7,3.4,0,1.3,2.7,1.063,"D"
"6448",1289,0,0,77.2,77.2,0,0,0,"D"
"6455",205,0.3,0.2,0.5,0.5,10.5,0.5,0.197,"A"
"6461",1569,7,1.3,59,0.7,14,0.02,0.008,"A"
"6466",431,5.9,1.5,7.3,5.2,4.4,1.6,0.63,"C"
"6467",45,1.55,1,4.65,4.65,3.15,0.1,0.039,"B"
"6468",699,0.6,0.6,66,0.1,0.2,0.2,0.079,"B"
"6469",2464,50,30,11,11,10,0.03,0.012,"E"
"6471",1471,0.8,0.1,77.9,0.3,7.3,0,0,"A"
"6472",1264,22.5,14.2,1,1,23,1.9,0.748,"D"
"6473",1561,38,4.4,7.6,3.9,0.5,1.81,0.713,"D"
"6474",912,12,2.2,14,0.6,13,1.3,0.512,"C"
"6478",2209,54,23,2.7,0.9,7.6,1.2,0.472,"E"
"6479",195,0.1,0,10.6,10.6,0.2,0.005,0.002,"B"
"6483",134,0,0,7.7,7.5,0.4,0,0,"B"
"6489",1025,18,2.9,0.9,0.5,21,1.2,0.472,"C"
"6493",2010,25.9,9,51.2,37.4,10.68,0.016,0.006,"E"
"6515",4,0.1,0.1,0.2,0.1,0,0,0,"B"
"6521",1092,3.7,0.6,42,1.4,12,1.3,0.512,"A"
"6525",2406,40,3.3,34,29,18,0.05,0.02,"D"
"6565",837,10,1,10,5,10,0,0,"A"
"6607",1628,3.1,0.6,79,0.8,8.6,0.71,0.28,"A"
"6609",21,35,24,4,3.1,2,0.1,0.039,"C"
"6611",1464,2.6,0.6,70.9,0.3,10.9,6.2,2.441,"D"
"6612",2197,28,16,61.5,56,6.7,0.45,0.177,"E"
"6613",184,1.5,1,4.6,4.6,3,0.13,0.051,"B"
"6621",247,3.8,0.7,2.4,2.4,3,0.4,0.157,"A"
"6629",201,0,0,11.3,9.8,0.4,0,0,"E"
"6645",138,0.2,0.1,6.3,0.3,1.6,6.3,2.48,"C"
"6647",1978,42,14,2.7,0.5,22,3.8,1.496,"E"
"6648",0,0,0,96.5,0,0,0,0,"B"
"6665",136,0.52,0,4.8,4.8,3.2,0.1,0.039,"B"
"6670",264,0,0,14,12,0.4,0,0,"A"
